"","lead","follower","X.x","lag","pvalue.x","X.y","TE","pvalue.y","adjcos"
"108","Vehicle295","Vehicle307",545,-4,0.000483346186941816,4491,0.141494144862665,0,0.684914169543836
"109","Vehicle297","Vehicle313",553,-3,0.000678192482383174,4539,0.144347506005174,0,-0.946616889143085
"110","Vehicle297","Vehicle313",554,-4,0.000960824195834025,4539,0.144347506005174,0,-0.946616889143085
"111","Vehicle297","Vehicle313",552,-2,0.000701086895744451,4539,0.144347506005174,0,-0.946616889143085
"112","Vehicle310","Vehicle318",580,-2,0.000894418613630417,4788,0.197941841472078,0,-0.414879817393921
"113","Vehicle316","Vehicle324",591,-2,0.000745357861693423,4907,0.136583004190661,0,-0.935002793710102
"114","Vehicle331","Vehicle338",622,-2,0.000126620550273649,5188,0.109811614799663,0,-0.486468841972123
"115","Vehicle336","Vehicle340",633,-2,2.55372624390806e-05,5264,0.121423822627015,0,-0.967957234231689
"116","Vehicle336","Vehicle340",634,-3,8.88640316380435e-05,5264,0.121423822627015,0,-0.967957234231689
"117","Vehicle336","Vehicle340",635,-4,0.00018238710628497,5264,0.121423822627015,0,-0.967957234231689
"118","Vehicle337","Vehicle338",637,-2,0.000603375237868685,5273,0.116455181164852,0,-0.987953308557854
"119","Vehicle337","Vehicle347",638,-2,0.000602450877637867,5282,0.154969777706728,0,-0.928271246009929
"120","Vehicle337","Vehicle347",639,-3,0.000444973012517266,5282,0.154969777706728,0,-0.928271246009929
"121","Vehicle341","Vehicle344",648,-4,0.000957549484445942,5332,0.168020207795286,0,-0.978813358824359
"122","Vehicle345","Vehicle346",653,-3,0.000645787915372749,5378,0.129262636448028,0,-0.913835175638804
"123","Vehicle350","Vehicle355",661,-2,0.000428480601510845,5437,0.160206468367554,0,-0.972402939244296
"124","Vehicle352","Vehicle355",666,-2,0.000769837641290611,5459,0.122122609548729,0,-0.99523398445538
"125","Vehicle357","Vehicle358",672,-2,1.75195084458235e-05,5512,0.134733485346651,0,-0.968124489087615
"126","Vehicle359","Vehicle366",675,-4,0.000244956495294003,5535,0.138176551590581,0,-0.935676471398572
"127","Vehicle373","Vehicle383",697,-3,0.000737085494077458,5675,0.153886506705323,0,-0.98856096167102
"128","Vehicle376","Vehicle379",705,-4,0.000125314018338664,5715,0.107587573067352,0,-0.981553542880908
"129","Vehicle376","Vehicle379",704,-3,0.000197594096958721,5715,0.107587573067352,0,-0.981553542880908
"130","Vehicle376","Vehicle379",703,-2,1.4057768986377e-05,5715,0.107587573067352,0,-0.981553542880908
"131","Vehicle391","Vehicle399",731,-2,0.000226589625923537,5935,0.102956620346427,0,-0.997057958304828
"132","Vehicle395","Vehicle398",740,-2,3.123762452527e-06,5975,0.223041968289578,0,-0.659847061342477
"133","Vehicle397","Vehicle401",745,-2,7.21733279061219e-06,5992,0.120167484628392,0,-0.924754762626014
"134","Vehicle40","Vehicle48",62,-2,0.000929244762684615,353,0.226761370773099,0,-0.933921036704491
"135","Vehicle412","Vehicle417",766,-2,7.39615412235056e-05,6159,0.170384878174531,0,-0.949621654655794
"136","Vehicle412","Vehicle424",769,-4,0.000231465487835692,6166,0.121106635182961,0,-0.558101758619583
